freq_rank,lemma
1088,strength
1089,size
1090,breathe
1091,color
1092,monster
1093,loud
1094,photo
1095,near
1096,sight
1097,greatest
1098,bridge
1099,horrible
1100,coach
1101,fantastic
1102,serve
1103,investigation
1104,center
1105,older
1106,pack
1107,soldier
1108,nonsense
1109,doc
1110,project
1111,example
1112,trick
1113,prepare
1114,science
1115,unit
1116,travel
1117,incredible
1118,grandpa
1119,character
1120,teeth
1121,criminal
1122,charles
1123,chinese
1124,truly
1125,bro
1126,survive
1127,bobby
1128,target
1129,fe
1130,nurse
1131,fake
1132,sweetie
1133,oil
1134,suicide
1135,belong
1136,whoo
1137,amy
1138,forgotten
1139,remain
1140,original
1141,papa
1142,concern
1143,credit
1144,invite
1145,discuss
1146,research
1147,easier
1148,view
1149,chair
1150,strike
1151,roger
1152,fill
1153,condition
1154,mountain
1155,dr
1156,nowhere
1157,sheriff
1158,kim
1159,brown
1160,recognize
1161,audience
1162,jealous
1163,pretend
1164,society
1165,shirt
1166,comfortable
1167,guest
1168,dry
1169,lett
1170,began
1171,aye
1172,jeff
1173,female
1174,release
1175,pray
1176,unfortunate
1177,universe
1178,opinion
1179,wash
1180,program
1181,heat
1182,ticket
1183,stolen
1184,prefer
1185,aware
1186,male
1187,base
1188,lift
1189,lab
1190,command
1191,proof
1192,cream
1193,create
1194,afford
1195,sunday
1196,dumb
1197,threw
1198,france
1199,birth
1200,british
1201,noise
1202,nut
1203,social
1204,brilliant
1205,tie
1206,buck
1207,kevin
1208,mister
1209,ug
1210,focus
1211,dan
1212,exist
1213,england
1214,draw
1215,purpose
1216,daniel
1217,bullet
1218,anna
1219,season
1220,suggest
1221,joy
1222,distance
1223,responsibility
1224,whenever
1225,issue
1226,process
1227,sword
1228,shower
1229,weak
1230,lone
1231,happiness
1232,eric
1233,tiny
1234,desk
1235,pool
1236,property
1237,settle
1238,indistinct
1239,weight
1240,receive
1241,gang
1242,bite
1243,friday
1244,disappear
1245,interview
1246,surgery
1247,mayor
1248,babe
1249,ancient
1250,handsome
1251,thomas
1252,saturday
1253,staff
1254,fan
1255,gentleman
1256,introduce
1257,fate
1258,split
1259,recent
1260,add
1261,alarm
1262,member
1263,slept
1264,enter
1265,spanish
1266,garden
1267,brave
1268,pig
1269,model
1270,finger
1271,medicine
1272,access
1273,fail
1274,flat
1275,easily
1276,discover
1277,screw
1278,insane
1279,weather
1280,san
1281,scott
1282,path
1283,soft
1284,harm
1285,style
1286,community
1287,basically
1288,al
1289,signal
1290,spare
1291,speech
1292,shake
1293,loose
1294,snow
1295,russian
1296,lake
1297,bright
1298,roof
1299,paint
1300,remind
1301,pal
1302,nak
1303,post
1304,sugar
1305,damage
1306,silence
1307,pete
1308,ed
1309,success
1310,wet
1311,amount
1312,kate
1313,manage
1314,safety
1315,harder
1316,fbi
1317,block
1318,fancy
1319,chef
1320,contract
1321,dig
1322,chest
1323,dave
1324,bury
1325,brian
1326,trade
1327,journey
1328,stomach
1329,detail
1330,divorce
1331,funeral
1332,maria
1333,football
1334,reality
1335,theory
1336,gosh
1337,ruin
1338,gate
1339,william
1340,spread
1341,japanese
1342,coat
1343,sooner
1344,cheese
1345,larry
1346,spring
1347,page
1348,simon
1349,castle
1350,hidden
1351,storm
1352,co
1353,artist
1354,hill
1355,permission
1356,jerry
1357,expensive
1358,forest
1359,bare
1360,egg
1361,regret
1362,lesson
1363,lover
1364,bread
1365,andy
1366,subject
1367,legal
1368,ill
1369,jason
1370,mood
1371,owner
1372,beep
1373,loss
1374,secretary
1375,revenge
1376,santa
1377,rent
1378,connection
1379,assistant
1380,yell
1381,rush
1382,foreign
1383,rough
1384,murderer
1385,century
1386,pair
1387,pocket
1388,farm
1389,matt
1390,bike
1391,ate
1392,grew
1393,professional
1394,tim
1395,goodness
1396,alan
1397,university
1398,square
1399,grandfather
1400,europe
1401,genius
1402,winter
1403,tongue
1404,cancer
1405,clock
1406,ocean
1407,liar
1408,tour
1409,thief
1410,bleep
1411,lisa
1412,include
1413,competition
1414,smith
1415,emily
1416,bor
1417,bon
1418,plant
1419,bless
1420,warn
1421,crash
1422,bedroom
1423,lower
1424,silver
1425,madame
1426,defense
1427,result
1428,toilet
1429,event
1430,complicate
1431,shape
1432,priest
1433,royal
1434,cheap
1435,romantic
1436,downstair
1437,fortune
1438,tear
1439,avoid
1440,higher
1441,familiar
1442,telephone
1443,kelly
1444,alice
1445,airport
1446,grown
1447,walter
1448,rachel
1449,giant
1450,insurance
1451,wood
1452,scare
1453,period
1454,political
1455,player
1456,laura
1457,repeat
1458,statement
1459,suck
1460,younger
1461,china
1462,delicious
1463,particular
1464,proper
1465,rome
1466,bath
1467,hir
1468,site
1469,knowledge
1470,le
1471,celebrate
1472,map
1473,horn
1474,eventual
1475,pity
1476,ashame
1477,assume
1478,rise
1479,request
1480,pound
1481,data
1482,depend
1483,jury
1484,positive
1485,attorney
1486,direction
1487,location
1488,useless
1489,grant
1490,fought
1491,meal
1492,deliver
1493,temple
1494,scary
1495,regular
1496,official
1497,jacket
1498,switch
1499,grave
1500,chase
1501,role
1502,odd
1503,sexy
1504,tall
1505,confuse
1506,affair
1507,television
1508,shock
1509,pizza
1510,image
1511,golden
1512,commit
1513,sexual
1514,suffer
1515,arthur
1516,wherever
1517,plate
1518,appear
1519,chocolate
1520,clever
1521,mercy
1522,lucy
1523,trap
1524,phil
1525,bang
1526,poison
1527,butt
1528,drove
1529,yourselves
1530,yellow
1531,soup
1532,mystery
1533,sat
1534,wound
1535,traffic
1536,courage
1537,hunt
1538,indian
1539,rat
1540,term
1541,italian
1542,emma
1543,disease
1544,winner
1545,council
1546,appointment
1547,monday
1548,crack
1549,threat
1550,jenny
1551,physical
1552,nation
1553,source
1554,chose
1555,healthy
1556,carl
1557,victory
1558,rick
1559,stood
1560,annie
1561,disgust
1562,palace
1563,neighborhood
1564,march
1565,lip
1566,midnight
1567,piss
1568,advantage
1569,pure
1570,india
1571,aside
1572,jerk
1573,mail
1574,dawn
1575,effect
1576,spell
1577,freak
1578,gary
1579,awake
1580,vacation
1581,violence
1582,leo
1583,grandmother
1584,modern
1585,luke
1586,firm
1587,prime
1588,heh
1589,talent
1590,whore
1591,piano
1592,license
1593,honour
1594,available
1595,factory
1596,value
1597,central
1598,union
1599,mirror
1600,studio
1601,media
1602,taxi
1603,iron
1604,desire
1605,rob
1606,claire
1607,fr
1608,washington
1609,monkey
1610,pride
1611,pill
1612,miracle
1613,swim
1614,christian
1615,bleed
1616,hook
1617,protection
1618,treatment
1619,carter
1620,metal
1621,grateful
1622,extreme
1623,treasure
1624,rescue
1625,capable
1626,chatter
1627,laid
1628,governor
1629,louis
1630,text
1631,literal
1632,remove
1633,performance
1634,stronger
1635,rate
1636,desert
1637,vehicle
1638,illegal
1639,josh
1640,unbelievable
1641,te
1642,zero
1643,dean
1644,curious
1645,sean
1646,candy
1647,bone
1648,edge
1649,load
1650,susan
1651,boom
1652,former
1653,holiday
1654,scoff
1655,motherfucker
1656,sue
1657,decent
1658,tip
1659,bride
1660,penny
1661,claim
1662,friendship
1663,desperate
1664,dramatic
1665,refuse
1666,solve
1667,theme
1668,dragon
1669,chuck
1670,direct
1671,surface
1672,false
1673,cast
1674,junior
1675,silent
1676,thou
1677,germany
1678,punch
1679,africa
1680,woke
1681,intelligence
1682,borrow
1683,popular
1684,witch
1685,convince
1686,announcer
1687,champagne
1688,dust
1689,kyle
1690,someday
1691,fallen
1692,stranger
1693,presence
1694,internet
1695,monsieur
1696,therefore
1697,technology
1698,toast
1699,wise
1700,clark
1701,hank
1702,ls
1703,april
